1,496
1,4872
1,4627
1,3333
1,15192
1,7868
1,7107
1,15027
1,6875
1,11321
1,12832
1,3172
1,2847
1,12803
1,5326
1,10589
1,5115
1,10205
1,11854
1,12805
1,16164
1,15834
1,3771
1,3592
1,13925
1,14677
1,2318
1,13173
1,15301
1,12685
2,12589
2,16496
2,15527
2,15383
2,2820
2,14477
2,1520
2,16099
2,8670
2,10414
2,15459
2,1845
2,15801
2,13469
3,2127
3,518
3,8801
3,1768
3,801
4,893
4,4974
4,2589
5,11905
5,4035
5,5440
6,1965
6,8025
6,2026
6,692
6,7303
6,690
6,3658
6,5452
6,662
6,900
6,7168
7,3293
7,8645
7,11254
8,12900
8,1546
8,5385
9,3446
9,862
9,3516
9,11829
9,5769
9,7281
9,9850
9,4398
9,6784
9,8588
9,4888
9,9056
10,8704
10,9591
10,2001
10,14003
10,3091
10,6621
10,2440
10,11901
11,2993
11,2771
11,5041
11,136
11,6356
11,4776
11,7707
11,3673
11,774
11,10713
11,2452
11,1424
12,4255
12,1117
12,8072
12,3053
12,12210
12,3121
12,6432
12,4611
12,11130
12,2769
12,12353
12,1807
12,2915
12,9631
12,4954
12,971
12,278
12,6798
12,4606
12,12970
12,11176
12,11665
12,5006
12,2446
12,9781
12,2095
13,928
13,4412
13,6443
13,8139
13,2290
13,16046
13,10988
13,10629
13,6165
13,6821
13,11278
13,8063
13,3706
13,16815
13,13728
13,408
13,3359
13,4203
13,16301
13,15245
13,11505
13,12392
13,12260
13,15979
13,11603
13,3161
13,4224
13,123
13,14333
13,2831
13,12991
13,1539
13,8935
13,9836
13,3
13,15956
14,2830
14,1404
14,4778
14,3878
14,7001
15,10738
15,12682
15,375
16,16099
16,6360
16,12827
17,8021
17,5604
17,221
17,2638
17,1181
18,3592
18,2721
18,6417
18,442
19,5837
19,6864
19,4630
20,6485
20,13875
20,12507
20,14524
20,14178
20,13096
20,14019
21,9868
21,5722
21,5893
21,5881
21,5895
21,5903
21,5897
21,5108
21,5626
21,5877
21,1665
21,5901
21,1566
21,5630
21,922
21,2711
21,5045
21,5885
21,5905
21,5628
21,5887
21,5883
21,1008
21,2167
21,5899
21,5636
21,5634
21,5891
21,4389
21,1626
21,5620
21,995
21,5622
21,265
21,3322
21,1690
21,3366
21,5618
21,2366
21,3247
21,753
21,2417
21,1535
21,5879
21,1672
21,5889
21,9762
21,9866
21,5624
21,5616
21,1115
21,1169
22,5895
22,5899
22,1626
22,5891
22,5881
22,1690
22,2220
22,3365
22,5883
22,5887
22,2417
22,5897
22,3317
22,5660
22,329
22,1211
22,1169
22,5885
22,945
22,21
22,5893
22,1006
22,5108
22,1114
22,1566
22,5905
22,4958
22,3368
22,5879
22,5903
22,1535
22,5901
22,5889
23,1373
23,1356
23,3688
23,3659
23,268
23,3503
23,712
23,5734
23,6973
23,3068
23,2922
23,1116
23,399
23,2786
23,5783
23,6939
23,2791
23,431
23,910
23,2339
23,1370
23,7350
23,1365
23,2078
23,10466
23,4462
23,8179
23,286
23,7097
23,2346
24,10944
24,3727
24,13901
24,16500
24,4690
24,10715
24,3964
24,15268
24,1304
24,1581
24,7077
24,14771
24,16135
24,10758
24,12616
24,13131
24,14636
24,13321
24,5166
24,11274
24,3904
24,16634
24,16476
24,3442
24,11583
24,4916
24,10316
24,462
24,12430
24,5819
24,12791
24,14657
24,10651
24,14574
24,502
24,11192
24,5345
24,9694
24,9915
24,14503
24,14730
24,8363
24,15219
24,9421
24,14527
24,10795
24,10706
24,10723
24,4311
24,10633
24,15067
24,13746
24,14947
24,10561
24,4156
24,4873
24,7313
24,14450
24,13059
24,16065
24,13302
24,14706
24,12946
24,13547
24,5381
24,15820
